app_name,app_id,category,review_id,username,review_text,star_rating,thumbs_up,review_date,app_version,reply_text,reply_date,platform,clean_text,tokenized_text
BCA Mobile,com.bca,traditional_bank,683035f3-c4df-4f02-82e0-8a3e792eeecd,Alvero Ext,"Selama menggunakan BCA Mobile cukup puas si, saya sudah menggunakan rekening BCA dari tahun 2016 sampai sekarang . kendala teknis hanya tergantung pada jaringan koneksi internet saja selebih nya aman ✅ dan di tambah satu lagi kritik dari saya untuk BCA kedepan nya kalau lagi sistem pemeliharaan jangan terlalu lama karena bnyak org yg menunggu. Terimakasih untuk BCA Atas pelayanan nya selama ini kepada para Nasabah setia seperti saya 👍👌🙏",5,0,2026-05-18 12:26:34,4.7.6,"Terima kasih atas saran yang diberikan, untuk hal tersebut akan menjadi masukan kepada kami sebagai bahan evaluasi untuk ke depannya agar mempermudah transaksi perbankan Bapak/Ibu.",2026-05-18 12:32:07,google_play,"selama menggunakan bca mobile cukup puas si, saya sudah menggunakan rekening bca dari tahun 2016 sampai sekarang . kendala teknis hanya tergantung pada jaringan koneksi internet saja selebih nya aman dan di tambah satu lagi kritik dari saya untuk bca kedepan nya kalau lagi sistem pemeliharaan jangan terlalu lama karena bnyak orang yang menunggu. terimakasih untuk bca atas pelayanan nya selama ini kepada para nasabah setia seperti saya","selama menggunakan bca mobile cukup puas si, menggunakan rekening bca tahun 2016 sampai sekarang kendala teknis tergantung jaringan koneksi internet selebih aman tambah satu kritik bca kedepan sistem pemeliharaan jangan terlalu lama bnyak orang menunggu. terimakasih bca atas pelayanan selama kepada para nasabah setia"
BCA Mobile,com.bca,traditional_bank,25c12164-d95e-4636-9c5e-6d55c53de229,Gociem Oey,TOLONG DONG KALAU ADA ORANG TRANSFER. GAK ADA NOTIFIKASINYA di Hp ...TOLONG DI KASIH NOTIFIKASI DONG kalau ada orang TRANSFER,5,0,2026-05-18 11:38:54,4.8.3,Mohon maaf atas ketidaknyamanannya. Saran dan ulasan Bapak/Ibu akan menjadi bahan evaluasi bagi kami ke depannya untuk pengembangan aplikasi yang lebih baik.,2026-05-18 11:54:55,google_play,tolong dong kalau ada orang transfer. tidak ada notifikasinya di hp ...tolong di kasih notifikasi dong kalau ada orang transfer,tolong orang transfer. notifikasinya hp ...tolong kasih notifikasi orang transfer
BCA Mobile,com.bca,traditional_bank,46c6be71-9841-46e0-b2ef-88b2f2878bbb,Nayma,bukan nya bagus malah kesini jelek . dari siang Ampe sekarang mau buka inbeking BCA lemot banget,1,0,2026-05-18 11:36:12,4.8.3,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon pastikan tidak menggunakan WiFi, menggunakan koneksi dari nomor HP yang terdaftar (pada slot utama), ruang memori penyimpanan pada HP mencukupi pastikan jaringan dalam keadaan stabil serta silakan dapat mencoba secara berkala.",2026-05-18 12:29:05,google_play,bukan nya bagus malah kesini jelek . dari siang ampe sekarang mau buka inbeking bca lambat banget,bagus malah kesini jelek siang ampe sekarang mau buka inbeking bca lambat banget
BCA Mobile,com.bca,traditional_bank,3e20ebcf-7e24-409e-b57a-e533e7e24b37,Dani wahdani,hadehhhh awalnya bagus ini udah kasus ke 2 pengirim kode otp lelet dan pulsa ilang gitu aja. niat gak sih,1,0,2026-05-18 10:49:48,4.4.1,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk kendala tersebut mohon dapat menginformasikan detail gambar kendala yang dialami ke layanan Twitter @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.",2026-05-18 11:36:18,google_play,hadehhhh awalnya bagus ini sudah kasus ke 2 pengirim kode otp lelet dan pulsa ilang gitu aja. niat tidak sih,hadehhhh awalnya bagus kasus pengirim kode otp lelet pulsa ilang gitu aja. niat
BCA Mobile,com.bca,traditional_bank,ff151cef-0f02-49d0-a5b7-8c2ca11442fa,Eccy Ryani,coba tolong di perbaikin lagi untuk dana yg tersangkut saat transfer. harus menunggu brpa lama lagi. makin kesini makin buruk aja,1,0,2026-05-18 06:35:19,4.8.3,"Mohon maaf atas kendala yang Bapak/Ibu alami, kami sarankan untuk pengajuan laporan dapat menghubungi layanan Halo BCA di 1500888. Sebagai informasi untuk bebas biaya pulsa dapat download aplikasi haloBCA di App Store atau Play Store.",2026-05-18 07:27:12,google_play,coba tolong di perbaikin lagi untuk dana yang tersangkut saat transfer. harus menunggu brpa lama lagi. makin kesini makin buruk saja,coba tolong perbaikin dana tersangkut transfer. menunggu brpa lama lagi. makin kesini makin buruk
BCA Mobile,com.bca,traditional_bank,d39d967c-d965-45a1-b81d-80c5bc6c9c0a,Sangker Santus,sama sekali tidak bisa diandalkan saat buru2 bahkan di kota2 besar juga indikator sering merah ga jelas,1,0,2026-05-18 04:31:30,2.9.4,"Mohon maaf atas ketidaknyamanannya. Apabila lampu indikator berwarna merah maka mohon Bapak/Ibu restart HP dan coba kembali serta pastikan koneksi internet tetap stabil. Jika masih mengalami kendala, silakan mengaktifkan Mode Pesawat di HP yg digunakan 20-30 detik, kemudian non aktifkan dan tunggu beberapa saat agar lampu indikator berwarna hijau.
",2026-05-18 05:21:40,google_play,sama sekali tidak bisa diandalkan saat buru2 bahkan di kota2 besar juga indikator sering merah tidak jelas,sama diandalkan buru2 bahkan kota2 besar indikator sering merah jelas
BCA Mobile,com.bca,traditional_bank,23e8f23b-f28e-47f3-b6d0-3475ad9c80c7,Saya Kristen,kecewa mau login akun aja susah padahal padahal nomor ny pas cuman minta link login aja di arahkan 15000888,4,0,2026-05-18 04:24:30,,Mohon maaf atas ketidaknyamanannya. Saran dan ulasan Bapak/Ibu akan menjadi bahan evaluasi bagi kami ke depannya untuk pengembangan aplikasi yang lebih baik.,2026-05-18 05:11:22,google_play,kecewa mau login akun saja susah padahal padahal nomor ny pas cuman minta link login saja di arahkan 15000888,kecewa mau login akun susah padahal padahal nomor ny pas cuman minta link login arahkan 15000888
BCA Mobile,com.bca,traditional_bank,05e5a860-39c0-4a75-826c-427497820988,arantha joza,akhir2 ini suka x kalau scan qiris gk masuk saldo kepotong kalau gak di komen atau hubungi pusat gak pernah balik saldonya da mau bangkrut ya BCA kok begitu sekarang???,1,0,2026-05-18 03:58:05,,"Mohon maaf atas kendala yang Bapak/Ibu alami, kami sarankan untuk pengajuan laporan dapat menghubungi layanan Halo BCA di 1500888. Sebagai informasi untuk bebas biaya pulsa dapat download aplikasi haloBCA di App Store atau Play Store.",2026-05-18 05:21:28,google_play,akhir2 ini suka x kalau scan qiris tidak masuk saldo kepotong kalau tidak di komen atau hubungi pusat tidak pernah balik saldonya da mau bangkrut ya bca kok begitu sekarang???,akhir2 suka scan qiris masuk saldo kepotong komen hubungi pusat pernah balik saldonya da mau bangkrut bca begitu sekarang???
BCA Mobile,com.bca,traditional_bank,a7165991-4e06-4746-81d7-7035b1020c0d,Badak SUMUT,"semenjak update gk jelas, lampu indikatornya hijau normal, tpi di saat mau transaksi tiba tiba biru",1,0,2026-05-18 03:46:24,4.8.2,"Mohon maaf atas ketidaknyamanannya. Saran dan ulasan Bapak/Ibu akan menjadi bahan evaluasi bagi kami ke depannya untuk pengembangan aplikasi yang lebih baik.
",2026-05-18 03:56:03,google_play,"semenjak update tidak jelas, lampu indikatornya hijau normal, tapi di saat mau transaksi tiba tiba biru","semenjak update jelas, lampu indikatornya hijau normal, mau transaksi tiba tiba biru"
BCA Mobile,com.bca,traditional_bank,c8e60652-e41f-4880-91e9-a2d28ec0db1c,AG official,kenapa sekarang BCA penanganannya kayak gini pelayanannya nggak kayak dulu sekarang mau daftar juga dipersulit jadi nggak bisa bikin rekening secara online dengan gercep.payah,1,0,2026-05-18 02:08:19,4.8.3,"Mohon maaf atas ketidaknyamanannya. Saran dan ulasan Bapak/Ibu akan menjadi bahan evaluasi bagi kami ke depannya untuk pengembangan aplikasi yang lebih baik.
",2026-05-18 03:56:17,google_play,kenapa sekarang bca penanganannya kayak gini pelayanannya tidak kayak dulu sekarang mau daftar juga dipersulit jadi tidak bisa bikin rekening secara online dengan gercep.payah,kenapa sekarang bca penanganannya kayak gini pelayanannya kayak dulu sekarang mau daftar dipersulit bikin rekening secara online gercep.payah
