app_name,app_id,category,review_id,username,review_text,star_rating,thumbs_up,review_date,app_version,reply_text,reply_date,platform
BCA Mobile,com.bca,traditional_bank,de3f3d15-9b97-4069-bb9e-45e8d817c278,Risna Wati,👍,5,0,2026-05-18 12:42:08,4.8.3,Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.,2026-05-18 13:01:07,google_play
BCA Mobile,com.bca,traditional_bank,683035f3-c4df-4f02-82e0-8a3e792eeecd,Alvero Ext,"Selama menggunakan BCA Mobile cukup puas si, saya sudah menggunakan rekening BCA dari tahun 2016 sampai sekarang . kendala teknis hanya tergantung pada jaringan koneksi internet saja selebih nya aman ✅ dan di tambah satu lagi kritik dari saya untuk BCA kedepan nya kalau lagi sistem pemeliharaan jangan terlalu lama karena bnyak org yg menunggu. Terimakasih untuk BCA Atas pelayanan nya selama ini kepada para Nasabah setia seperti saya 👍👌🙏",5,0,2026-05-18 12:26:34,4.7.6,"Terima kasih atas saran yang diberikan, untuk hal tersebut akan menjadi masukan kepada kami sebagai bahan evaluasi untuk ke depannya agar mempermudah transaksi perbankan Bapak/Ibu.",2026-05-18 12:32:07,google_play
BCA Mobile,com.bca,traditional_bank,64973431-99a4-477f-9bbb-4383d8ab75bf,firman maulana,Kecewa dengan aplikasi BCA mobile saat verifikasi wajah,3,0,2026-05-18 11:50:13,4.8.3,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk kendala tersebut mohon dapat menginformasikan detail gambar kendala yang dialami ke layanan Twitter @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.",2026-05-18 12:31:29,google_play
BCA Mobile,com.bca,traditional_bank,d705a0f9-a969-4d9b-ae04-377a031eb98d,Iman Jobz,ok,5,0,2026-05-18 11:49:00,4.8.3,Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.,2026-05-18 12:30:37,google_play
BCA Mobile,com.bca,traditional_bank,2e3295b7-0bd3-45c0-abda-fa15b6a1a5fe,aang isman thea,lemot kurang baik,4,0,2026-05-18 11:45:53,4.8.3,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon pastikan tidak menggunakan WiFi, menggunakan koneksi dari nomor HP yang terdaftar (pada slot utama), ruang memori penyimpanan pada HP mencukupi pastikan jaringan dalam keadaan stabil serta silakan dapat mencoba secara berkala.",2026-05-18 12:29:19,google_play
BCA Mobile,com.bca,traditional_bank,25c12164-d95e-4636-9c5e-6d55c53de229,Gociem Oey,TOLONG DONG KALAU ADA ORANG TRANSFER. GAK ADA NOTIFIKASINYA di Hp ...TOLONG DI KASIH NOTIFIKASI DONG kalau ada orang TRANSFER,5,0,2026-05-18 11:38:54,4.8.3,Mohon maaf atas ketidaknyamanannya. Saran dan ulasan Bapak/Ibu akan menjadi bahan evaluasi bagi kami ke depannya untuk pengembangan aplikasi yang lebih baik.,2026-05-18 11:54:55,google_play
BCA Mobile,com.bca,traditional_bank,46c6be71-9841-46e0-b2ef-88b2f2878bbb,Nayma,bukan nya bagus malah kesini jelek . dari siang Ampe sekarang mau buka inbeking BCA lemot banget,1,0,2026-05-18 11:36:12,4.8.3,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon pastikan tidak menggunakan WiFi, menggunakan koneksi dari nomor HP yang terdaftar (pada slot utama), ruang memori penyimpanan pada HP mencukupi pastikan jaringan dalam keadaan stabil serta silakan dapat mencoba secara berkala.",2026-05-18 12:29:05,google_play
BCA Mobile,com.bca,traditional_bank,18206353-2c62-41b5-8479-5f1aa60ad7b5,I wayan Yusa (Apion),terima kasih,5,0,2026-05-18 11:29:17,,Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.,2026-05-18 11:39:07,google_play
BCA Mobile,com.bca,traditional_bank,046f80c2-bbe5-4ff3-969f-9aec5535f019,heri okto,ok,5,0,2026-05-18 11:21:59,4.8.3,"Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.
",2026-05-18 11:38:19,google_play
BCA Mobile,com.bca,traditional_bank,d506c9c7-b8ff-4240-ba80-7913b5487813,Hasrida Jie,mantapp,5,0,2026-05-18 11:14:03,4.8.3,Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.,2026-05-18 11:36:49,google_play
